section,row_label,seat_number
Tầng 1,A,1
Tầng 1,A,2
Tầng 1,A,3
Tầng 1,A,4
Tầng 1,A,5
Tầng 1,A,6
Tầng 1,A,7
Tầng 1,A,8
Tầng 1,A,9
Tầng 1,A,10
Tầng 1,A,11
Tầng 1,A,12
Tầng 1,A,13
Tầng 1,A,14
Tầng 1,A,15
Tầng 1,A,16
Tầng 1,A,17
Tầng 1,A,18
Tầng 1,A,19
Tầng 1,A,20
Tầng 1,A,21
Tầng 1,A,22
Tầng 1,A,23
Tầng 1,A,24
Tầng 1,A,25
Tầng 1,A,26
Tầng 1,A,27
Tầng 1,A,28
Tầng 1,A,29
Tầng 1,A,30
Tầng 1,A,31
Tầng 1,A,32
Tầng 1,B,1
Tầng 1,B,3
Tầng 1,B,5
Tầng 1,B,7
Tầng 1,B,9
Tầng 1,B,11
Tầng 1,B,13
Tầng 1,B,15
Tầng 1,B,21
Tầng 1,B,23
Tầng 1,B,25
Tầng 1,B,26
Tầng 1,B,27
Tầng 1,B,28
Tầng 1,B,29
Tầng 1,B,30
Tầng 1,B,31
Tầng 1,B,32
Tầng 1,C,1
Tầng 1,C,3
Tầng 1,C,5
Tầng 1,C,6
Tầng 1,C,7
Tầng 1,C,8
Tầng 1,C,9
Tầng 1,C,10
Tầng 1,C,11
Tầng 1,C,12
Tầng 1,C,13
Tầng 1,C,14
Tầng 1,C,15
Tầng 1,C,16
Tầng 1,C,17
Tầng 1,C,18
Tầng 1,C,19
Tầng 1,C,20
Tầng 1,C,21
Tầng 1,C,22
Tầng 1,C,23
Tầng 1,C,24
Tầng 1,C,25
Tầng 1,C,26
Tầng 1,C,27
Tầng 1,C,28
Tầng 1,C,29
Tầng 1,C,30
Tầng 1,C,31
Tầng 1,C,32
Tầng 1,D,5
Tầng 1,D,7
Tầng 1,D,9
Tầng 1,D,11
Tầng 1,E,23
Tầng 1,E,24
Tầng 1,E,25
Tầng 1,E,26
Tầng 1,E,27
Tầng 1,E,28
Tầng 1,E,29
Tầng 1,E,30
Tầng 1,E,31
Tầng 1,E,32
Tầng 1,F,25
Tầng 1,F,26
Tầng 1,F,27
Tầng 1,F,28
Tầng 1,F,29
Tầng 1,F,30
Tầng 1,F,31
Tầng 1,F,32
Tầng 1,M,27
Tầng 1,M,28
Tầng 1,O,27
Tầng 1,O,28
Tầng 1,P,9
Tầng 1,P,10
Tầng 1,P,11
Tầng 1,P,12
Tầng 1,P,13
Tầng 1,P,14
Tầng 3,F,1
Tầng 3,F,2
Tầng 3,F,3
Tầng 3,F,4
Tầng 3,F,5
Tầng 3,F,6
Tầng 3,F,7
Tầng 3,F,8
Tầng 3,F,9
Tầng 3,F,10
Tầng 3,F,11
Tầng 3,F,12
Tầng 3,F,13
Tầng 3,F,14
Tầng 3,F,15
Tầng 3,G,1
Tầng 3,G,2
Tầng 3,G,3
Tầng 3,G,4
Tầng 3,G,5
Tầng 3,G,6
Tầng 3,G,7
Tầng 3,G,8
Tầng 3,G,9
Tầng 3,G,10
Tầng 3,G,11
Tầng 3,G,12
Tầng 3,G,13
Tầng 3,G,14
Tầng 3,G,15
Tầng 3,G,16
Tầng 3,G,17
Tầng 3,G,18
